round,table_usage,runtime_ms
7,60.80,15.08
7,61.99,14.48
7,63.18,15.82
7,64.37,13.70
7,65.56,13.99
7,66.76,14.79
7,67.95,15.27
7,69.14,15.36
7,70.33,14.12
7,71.52,15.40
7,72.72,14.96
7,73.91,15.20
7,75.10,15.83
7,76.29,15.38
7,77.49,15.46
7,78.68,14.98
7,79.87,14.95
7,81.06,16.49
7,82.25,16.38
7,83.45,15.72
7,84.64,17.09
7,85.83,16.48
7,87.02,16.85
7,88.21,17.21
7,89.41,17.41
7,90.60,16.44
7,91.79,18.52
7,92.98,16.76
7,94.17,16.41
7,95.37,17.57
7,96.56,17.58
8,1.19,20.49
8,2.38,8.26
8,3.58,7.92
8,4.77,8.39
8,5.96,8.12
8,7.15,8.18
8,8.34,8.17
8,9.54,8.38
8,10.73,8.39
8,11.92,8.82
8,13.11,8.64
8,14.30,9.86
8,15.50,9.05
8,16.69,9.46
8,17.88,9.30
8,19.07,10.11
8,20.27,9.80
8,21.46,9.91
8,22.65,9.97
8,23.84,10.39
8,25.03,10.69
8,26.23,10.91
8,27.42,10.07
8,28.61,10.71
8,29.80,10.59
8,30.99,10.20
8,32.19,10.41
8,33.38,11.05
8,34.57,11.14
8,35.76,11.50
8,36.95,11.20
8,38.15,11.64
8,39.34,12.30
8,40.53,11.50
8,41.72,12.00
8,42.91,12.19
8,44.11,12.20
8,45.30,11.80
8,46.49,12.30
8,47.68,12.16
8,48.88,12.20
8,50.07,12.52
8,51.26,12.22
8,52.45,12.46
8,53.64,13.57
8,54.84,14.67
8,56.03,14.56
8,57.22,12.84
8,58.41,13.25
8,59.60,14.16
8,60.80,14.14
8,61.99,12.99
8,63.18,12.65
8,64.37,14.28
8,65.56,15.26
8,66.76,14.31
8,67.95,13.98
8,69.14,13.86
8,70.33,14.05
8,71.52,14.44
8,72.72,14.65
8,73.91,14.26
8,75.10,14.49
8,76.29,15.69
8,77.49,14.76
8,78.68,16.16
8,79.87,15.16
8,81.06,15.49
8,82.25,15.20
8,83.45,15.40
8,84.64,16.08
8,85.83,15.60
8,87.02,16.19
8,88.21,16.80
8,89.41,15.50
8,90.60,15.89
8,91.79,17.01
8,92.98,15.93
8,94.17,16.03
8,95.37,18.17
8,96.56,16.98
