round,table_usage,runtime_ns
5,64.37,47.00
5,65.57,44.00
5,66.76,47.00
5,67.95,48.00
5,69.14,48.00
5,70.33,48.00
5,71.53,48.00
5,72.72,48.00
5,73.91,48.00
5,75.10,48.00
5,76.29,51.00
5,77.49,52.00
5,78.68,56.00
5,79.87,55.00
5,81.06,55.00
5,82.25,63.00
5,83.45,56.00
5,84.64,67.00
5,85.83,60.00
5,87.02,67.00
5,88.21,68.00
5,89.41,71.00
5,90.60,72.00
5,91.79,79.00
5,92.98,83.00
5,94.18,91.00
5,95.37,104.00
5,96.56,127.00
6,1.19,99.00
6,2.38,32.00
6,3.58,35.00
6,4.77,32.00
6,5.96,35.00
6,7.15,35.00
6,8.34,35.00
6,9.54,36.00
6,10.73,39.00
6,11.92,40.00
6,13.11,40.00
6,14.31,39.00
6,15.50,39.00
6,16.69,36.00
6,17.88,39.00
6,19.07,43.00
6,20.27,36.00
6,21.46,43.00
6,22.65,40.00
6,23.84,40.00
6,25.03,39.00
6,26.23,39.00
6,27.42,39.00
6,28.61,40.00
6,29.80,43.00
6,30.99,40.00
6,32.19,43.00
6,33.38,43.00
6,34.57,43.00
6,35.76,40.00
6,36.95,36.00
6,38.15,40.00
6,39.34,40.00
6,40.53,43.00
6,41.72,40.00
6,42.92,43.00
6,44.11,40.00
6,45.30,40.00
6,46.49,43.00
6,47.68,40.00
6,48.88,40.00
6,50.07,43.00
6,51.26,47.00
6,52.45,47.00
6,53.64,44.00
6,54.84,44.00
6,56.03,43.00
6,57.22,44.00
6,58.41,44.00
6,59.60,47.00
6,60.80,44.00
6,61.99,43.00
6,63.18,44.00
6,64.37,44.00
6,65.57,43.00
6,66.76,43.00
6,67.95,44.00
6,69.14,48.00
6,70.33,51.00
6,71.53,48.00
6,72.72,48.00
6,73.91,51.00
6,75.10,51.00
6,76.29,52.00
6,77.49,51.00
6,78.68,51.00
6,79.87,52.00
6,81.06,52.00
6,82.25,52.00
6,83.45,52.00
6,84.64,56.00
6,85.83,59.00
6,87.02,59.00
6,88.21,60.00
6,89.41,64.00
6,90.60,71.00
6,91.79,72.00
6,92.98,80.00
6,94.18,87.00
6,95.37,108.00
6,96.56,143.00
7,1.19,138.00
7,2.38,43.00
7,3.58,39.00
7,4.77,36.00
7,5.96,35.00
7,7.15,39.00
7,8.34,39.00
7,9.54,39.00
7,10.73,36.00
7,11.92,36.00
7,13.11,39.00
7,14.31,36.00
7,15.50,36.00
7,16.69,39.00
7,17.88,36.00
7,19.07,39.00
7,20.27,36.00
7,21.46,36.00
7,22.65,36.00
7,23.84,39.00
7,25.03,36.00
7,26.23,43.00
7,27.42,40.00
7,28.61,40.00
7,29.80,40.00
7,30.99,40.00
7,32.19,43.00
7,33.38,40.00
7,34.57,40.00
7,35.76,40.00
7,36.95,40.00
7,38.15,40.00
7,39.34,39.00
7,40.53,43.00
7,41.72,43.00
7,42.92,43.00
7,44.11,44.00
7,45.30,44.00
7,46.49,43.00
7,47.68,44.00
7,48.88,47.00
7,50.07,44.00
7,51.26,47.00
7,52.45,44.00
7,53.64,44.00
7,54.84,47.00
7,56.03,44.00
7,57.22,43.00
7,58.41,44.00
7,59.60,43.00
7,60.80,47.00
7,61.99,47.00
7,63.18,47.00
7,64.37,47.00
7,65.57,47.00
7,66.76,48.00
7,67.95,47.00
7,69.14,47.00
7,70.33,47.00
7,71.53,51.00
7,72.72,48.00
7,73.91,51.00
7,75.10,52.00
7,76.29,51.00
7,77.49,48.00
7,78.68,51.00
7,79.87,55.00
7,81.06,52.00
7,82.25,63.00
7,83.45,60.00
7,84.64,60.00
7,85.83,56.00
7,87.02,60.00
7,88.21,75.00
7,89.41,75.00
7,90.60,76.00
7,91.79,84.00
7,92.98,95.00
7,94.18,100.00
7,95.37,116.00
7,96.56,136.00
7,0.00,0.00
8,1.19,142.00
8,2.38,39.00
8,3.58,36.00
8,4.77,39.00
8,5.96,40.00
8,7.15,39.00
8,8.34,43.00
