round,table_usage,runtime_ns
5,79.87,135.00
5,81.06,131.00
5,82.25,136.00
5,83.45,136.00
5,84.64,143.00
5,85.83,147.00
5,87.02,139.00
5,88.21,139.00
5,89.41,151.00
5,90.60,140.00
5,91.79,139.00
5,92.98,143.00
5,94.17,140.00
5,95.37,139.00
5,96.56,143.00
6,1.19,77.00
6,2.38,47.00
6,3.58,44.00
6,4.77,51.00
6,5.96,48.00
6,7.15,52.00
6,8.34,48.00
6,9.54,50.00
6,10.73,56.00
6,11.92,55.00
6,13.11,60.00
6,14.30,63.00
6,15.50,63.00
6,16.69,56.00
6,17.88,67.00
6,19.07,64.00
6,20.27,64.00
6,21.46,67.00
6,22.65,72.00
6,23.84,71.00
6,25.03,71.00
6,26.23,72.00
6,27.42,72.00
6,28.61,75.00
6,29.80,79.00
6,30.99,75.00
6,32.19,79.00
6,33.38,80.00
6,34.57,83.00
6,35.76,103.00
6,36.95,191.00
6,38.15,124.00
6,39.34,92.00
6,40.53,88.00
6,41.72,88.00
6,42.91,100.00
6,44.11,103.00
6,45.30,96.00
6,46.49,99.00
6,47.68,99.00
6,48.88,95.00
6,50.07,96.00
6,51.26,99.00
6,52.45,107.00
6,53.64,99.00
6,54.84,107.00
6,56.03,104.00
6,57.22,112.00
6,58.41,107.00
6,59.60,111.00
6,60.80,115.00
6,61.99,112.00
6,63.18,112.00
6,64.37,111.00
6,65.56,111.00
6,66.76,120.00
6,67.95,120.00
6,69.14,140.00
6,70.33,159.00
6,71.52,179.00
6,72.72,183.00
6,73.91,444.00
6,75.10,140.00
6,76.29,139.00
6,77.49,143.00
6,78.68,188.00
6,79.87,176.00
6,81.06,195.00
6,82.25,161.00
6,83.45,155.00
6,84.64,152.00
6,85.83,159.00
6,87.02,172.00
6,88.21,147.00
6,89.41,151.00
6,90.60,144.00
6,91.79,288.00
6,92.98,247.00
6,94.17,183.00
6,95.37,171.00
6,96.56,228.00
6,0.00,0.00
7,1.19,128.00
7,2.38,75.00
7,3.58,79.00
7,4.77,64.00
7,5.96,52.00
7,7.15,59.00
7,8.34,55.00
7,9.54,55.00
7,10.73,60.00
7,11.92,118.00
7,13.11,90.00
7,14.30,76.00
7,15.50,72.00
7,16.69,71.00
7,17.88,68.00
7,19.07,63.00
7,20.27,64.00
7,21.46,68.00
7,22.65,79.00
7,23.84,132.00
7,25.03,127.00
7,26.23,192.00
7,27.42,86.00
7,28.61,95.00
7,29.80,75.00
7,30.99,79.00
7,32.19,87.00
7,33.38,87.00
7,34.57,76.00
7,35.76,83.00
7,36.95,76.00
7,38.15,80.00
7,39.34,84.00
7,40.53,87.00
7,41.72,88.00
7,42.91,87.00
7,44.11,84.00
7,45.30,88.00
7,46.49,87.00
7,47.68,88.00
7,48.88,107.00
7,50.07,95.00
7,51.26,111.00
7,52.45,111.00
7,53.64,108.00
7,54.84,151.00
7,56.03,115.00
7,57.22,119.00
7,58.41,104.00
7,59.60,103.00
7,60.80,111.00
7,61.99,119.00
7,63.18,116.00
7,64.37,108.00
7,65.56,115.00
7,66.76,119.00
7,67.95,116.00
7,69.14,127.00
7,70.33,127.00
7,71.52,116.00
7,72.72,116.00
7,73.91,120.00
7,75.10,123.00
7,76.29,135.00
7,77.49,140.00
7,78.68,135.00
7,79.87,140.00
7,81.06,136.00
7,82.25,144.00
7,83.45,136.00
7,84.64,139.00
7,85.83,135.00
7,87.02,132.00
7,88.21,135.00
7,89.41,132.00
7,90.60,136.00
7,91.79,159.00
7,92.98,175.00
7,94.17,148.00
7,95.37,140.00
7,96.56,143.00
8,1.19,96.00
8,2.38,44.00
8,3.58,48.00
8,4.77,43.00
8,5.96,44.00
8,7.15,44.00
8,8.34,47.00
8,9.54,47.00
8,10.73,47.00
8,11.92,48.00
8,13.11,51.00
8,14.30,51.00
8,15.50,59.00
8,16.69,60.00
8,17.88,63.00
8,19.07,63.00
8,20.27,63.00
8,21.46,67.00
8,22.65,68.00
8,23.84,68.00
8,25.03,71.00
8,26.23,68.00
8,27.42,67.00
8,28.61,79.00
8,29.80,71.00
8,30.99,79.00
8,32.19,80.00
8,33.38,79.00
8,34.57,76.00
8,35.76,76.00
8,36.95,76.00
8,38.15,83.00
8,39.34,79.00
8,40.53,79.00
8,41.72,76.00
8,42.91,79.00
8,44.11,83.00
8,45.30,95.00
8,46.49,92.00
8,47.68,92.00
8,48.88,95.00
8,50.07,99.00
8,51.26,100.00
8,52.45,96.00
8,53.64,111.00
8,54.84,107.00
8,56.03,103.00
8,57.22,104.00
8,58.41,103.00
8,59.60,103.00
8,60.80,103.00
8,61.99,100.00
8,63.18,111.00
8,64.37,119.00
8,65.56,112.00
8,66.76,108.00
8,67.95,112.00
8,69.14,108.00
8,70.33,123.00
8,71.52,127.00
8,72.72,119.00
8,73.91,120.00
8,75.10,120.00
8,76.29,123.00
8,77.49,128.00
8,78.68,123.00
8,79.87,127.00
8,81.06,136.00
8,82.25,132.00
8,83.45,135.00
8,84.64,131.00
8,85.83,144.00
8,87.02,132.00
8,88.21,136.00
8,89.41,140.00
8,90.60,143.00
8,91.79,151.00
8,92.98,140.00
8,94.17,151.00
8,95.37,160.00
8,96.56,152.00
8,0.00,0.00
